ID_Proyecto,Fecha_Inicio,Ciudad,Region,Sector,Tipo_Contrato,Responsable,Presupuesto_Aprobado,Costo_Real,Duracion_Planeada_dias,Duracion_Real_dias,Estado,Fuente_Financiacion,Nivel_Riesgo
PRJ001,2020-04-01,Bogotá,Andina,Educación,Contratación directa,Carlos Ruiz,4839,5185,678,661,Finalizado,Pública,Medio
PRJ002,2023-09-25,Bogotá,Andina,Infraestructura,Licitación pública,Carlos Ruiz,16279,19053,694,700,En ejecución,Pública,Alto
PRJ003,2025-02-10,Pereira,Andina,Salud,Acuerdo marco,Laura Martínez,11630,13146,283,328,En ejecución,Mixta,Medio
PRJ004,2022-10-25,Cartagena,Caribe,Salud,Contratación directa,Mariana Torres,5759,6087,487,586,Suspendido,Pública,Alto
PRJ005,2025-10-08,Cartagena,Caribe,Infraestructura,Acuerdo marco,Laura Martínez,14201,15134,420,503,En ejecución,Pública,Medio
PRJ006,2025-12-08,Bucaramanga,Andina,Logística,Contratación directa,Andrés Castillo,6750,7553,416,518,Suspendido,Pública,Alto
PRJ007,2021-08-11,Medellín,Andina,Tecnología,APP,Juan Pérez,4988,4860,483,537,En ejecución,Privada,Bajo
PRJ008,2021-12-29,Medellín,Andina,Logística,Contratación directa,Laura Martínez,10010,10304,508,523,En ejecución,Privada,Bajo
PRJ009,2025-03-31,Barranquilla,Caribe,Educación,Licitación pública,Carlos Ruiz,6584,6782,187,189,En ejecución,Pública,Bajo
PRJ010,2025-05-12,Bucaramanga,Andina,Salud,Acuerdo marco,Juan Pérez,8758,8945,262,268,En ejecución,Privada,Bajo
PRJ011,2025-04-18,Santa Marta,Caribe,Educación,Acuerdo marco,Laura Martínez,6965,6985,261,287,En ejecución,Mixta,Bajo
PRJ012,2020-01-08,Bogotá,Andina,Infraestructura,Contratación directa,Andrés Castillo,19149,21723,185,197,En ejecución,Pública,Medio
PRJ013,2025-09-06,Cúcuta,Andina,Logística,APP,Laura Martínez,7876,8842,669,853,Suspendido,Pública,Alto
PRJ014,2022-10-25,Medellín,Andina,Educación,Acuerdo marco,Carlos Ruiz,4026,4481,389,482,Suspendido,Mixta,Alto
PRJ015,2021-01-01,Santa Marta,Caribe,Infraestructura,APP,Andrés Castillo,17977,19591,502,641,Suspendido,Privada,Alto
PRJ016,2025-01-18,Santa Marta,Caribe,Infraestructura,APP,Juan Pérez,9832,12150,434,486,En ejecución,Pública,Alto
PRJ017,2021-09-13,Villavicencio,Orinoquía,Infraestructura,Licitación pública,Andrés Castillo,9133,11376,665,784,En ejecución,Mixta,Alto
PRJ018,2020-06-09,Cúcuta,Andina,Logística,Contratación directa,Mariana Torres,12932,15176,672,790,En ejecución,Privada,Alto
PRJ019,2021-04-03,Cartagena,Caribe,Tecnología,APP,Juan Pérez,5698,5516,350,374,En ejecución,Privada,Bajo
PRJ020,2019-03-28,Villavicencio,Orinoquía,Logística,Contratación directa,Laura Martínez,6117,6195,180,183,En ejecución,Pública,Bajo
PRJ021,2019-05-09,Bucaramanga,Andina,Infraestructura,Contratación directa,Mariana Torres,15953,17434,255,297,En ejecución,Privada,Medio
PRJ022,2025-05-27,Villavicencio,Orinoquía,Tecnología,Contratación directa,Juan Pérez,3559,3431,561,516,Finalizado,Mixta,Bajo
PRJ023,2023-08-11,Cúcuta,Andina,Infraestructura,Licitación pública,Ana Gómez,19931,22280,231,236,En ejecución,Mixta,Medio
